2023-05-17 22:50:19,400 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:50:19,575 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:07,866 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:51:08,030 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:12,846 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.5, 'light': 0.0, 'temperature': 29.832, 'humidity': 87.112, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:10:18'}, '养鱼3': None}
2023-05-17 22:51:12,846 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.968, 'light': 0.0, 'temperature': 29.82, 'humidity': 87.04, 'waterTemperature': 22.065, 'timestamp': '2023-05-17 22:10:48'}, '养鱼3': None}
2023-05-17 22:51:12,852 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.168, 'light': 0.0, 'temperature': 29.854, 'humidity': 86.982, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:11:18'}, '养鱼3': None}
2023-05-17 22:51:12,853 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.945, 'light': 0.0, 'temperature': 29.88, 'humidity': 86.89, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:11:48'}, '养鱼3': None}
2023-05-17 22:51:12,853 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.05, 'light': 0.0, 'temperature': 29.898, 'humidity': 86.81, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:12:18'}, '养鱼3': None}
2023-05-17 22:51:12,853 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.062, 'light': 0.0, 'temperature': 29.93, 'humidity': 86.724, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:12:48'}, '养鱼3': None}
2023-05-17 22:51:12,853 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.818, 'light': 0.0, 'temperature': 29.934, 'humidity': 86.666, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:13:18'}, '养鱼3': None}
2023-05-17 22:51:12,861 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.575, 'light': 0.0, 'temperature': 29.917, 'humidity': 86.557, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:13:48'}, '养鱼3': None}
2023-05-17 22:51:12,861 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.978, 'humidity': 86.438, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:18'}, '养鱼3': None}
2023-05-17 22:51:12,861 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.035, 'light': 0.0, 'temperature': 29.99, 'humidity': 86.395, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:48'}, '养鱼3': None}
2023-05-17 22:51:12,861 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.28, 'light': 0.0, 'temperature': 30.025, 'humidity': 86.295, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:15:18'}, '养鱼3': None}
2023-05-17 22:51:12,861 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.192, 'light': 0.0, 'temperature': 30.022, 'humidity': 86.242, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:15:48'}, '养鱼3': None}
2023-05-17 22:51:12,868 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.195, 'light': 0.0, 'temperature': 30.043, 'humidity': 86.168, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 22:16:18'}, '养鱼3': None}
2023-05-17 22:51:12,869 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.275, 'light': 0.0, 'temperature': 30.04, 'humidity': 86.127, 'waterTemperature': 22.05, 'timestamp': '2023-05-17 22:16:48'}, '养鱼3': None}
2023-05-17 22:51:12,869 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.713, 'light': 0.0, 'temperature': 30.08, 'humidity': 86.065, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:17:18'}, '养鱼3': None}
2023-05-17 22:51:12,869 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.723, 'light': 0.0, 'temperature': 30.077, 'humidity': 85.973, 'waterTemperature': 19.587, 'timestamp': '2023-05-17 22:17:48'}, '养鱼3': None}
2023-05-17 22:51:12,869 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.568, 'light': 0.0, 'temperature': 30.078, 'humidity': 85.96, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:18:18'}, '养鱼3': None}
2023-05-17 22:51:12,876 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.489, 'light': 0.0, 'temperature': 30.089, 'humidity': 85.917, 'waterTemperature': 25.183, 'timestamp': '2023-05-17 22:18:48'}, '养鱼3': None}
2023-05-17 22:51:12,876 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 30.1, 'humidity': 85.868, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:19:18'}, '养鱼3': None}
2023-05-17 22:51:12,876 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.733, 'light': 0.0, 'temperature': 30.103, 'humidity': 85.823, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 22:19:48'}, '养鱼3': None}
2023-05-17 22:51:12,876 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.985, 'light': 0.0, 'temperature': 30.14, 'humidity': 85.757, 'waterTemperature': 22.017, 'timestamp': '2023-05-17 22:20:18'}, '养鱼3': None}
2023-05-17 22:51:12,876 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.228, 'light': 0.0, 'temperature': 30.15, 'humidity': 85.708, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:20:48'}, '养鱼3': None}
2023-05-17 22:51:12,886 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.192, 'light': 0.0, 'temperature': 30.166, 'humidity': 85.706, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:18'}, '养鱼3': None}
2023-05-17 22:51:12,886 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 30.202, 'humidity': 85.632, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:48'}, '养鱼3': None}
2023-05-17 22:51:12,886 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.406, 'light': 0.0, 'temperature': 30.178, 'humidity': 85.594, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:22:18'}, '养鱼3': None}
2023-05-17 22:51:12,886 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 30.236, 'humidity': 85.548, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:22:48'}, '养鱼3': None}
2023-05-17 22:51:12,886 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.848, 'light': 0.0, 'temperature': 30.27, 'humidity': 85.516, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:23:18'}, '养鱼3': None}
2023-05-17 22:51:12,895 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.362, 'light': 0.0, 'temperature': 30.255, 'humidity': 85.525, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:23:48'}, '养鱼3': None}
2023-05-17 22:51:12,895 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 26.742, 'light': 0.0, 'temperature': 30.29, 'humidity': 85.464, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:24:18'}, '养鱼3': None}
2023-05-17 22:51:12,895 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.347, 'light': 0.0, 'temperature': 30.282, 'humidity': 85.403, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:24:48'}, '养鱼3': None}
2023-05-17 22:52:01,512 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:52:01,678 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-17-1
2023-05-17 22:52:17,697 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.979, 'light': 0.0, 'temperature': 29.263, 'humidity': 88.213, 'waterTemperature': 29.293, 'timestamp': '2023-05-17 21:52:48'}, '养鱼3': None}
2023-05-17 22:52:17,697 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.256, 'light': 0.0, 'temperature': 29.266, 'humidity': 88.192, 'waterTemperature': 23.424, 'timestamp': '2023-05-17 21:53:18'}, '养鱼3': None}
2023-05-17 22:52:17,703 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.848, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.234, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:53:48'}, '养鱼3': None}
2023-05-17 22:52:17,703 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.148, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.228, 'waterTemperature': 24.425, 'timestamp': '2023-05-17 21:54:18'}, '养鱼3': None}
2023-05-17 22:52:17,703 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.26, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.27, 'waterTemperature': 23.412, 'timestamp': '2023-05-17 21:54:48'}, '养鱼3': None}
2023-05-17 22:52:17,703 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.387, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.28, 'waterTemperature': 24.385, 'timestamp': '2023-05-17 21:55:18'}, '养鱼3': None}
2023-05-17 22:52:17,703 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.535, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.317, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:55:48'}, '养鱼3': None}
2023-05-17 22:52:17,709 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.59, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.343, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:56:18'}, '养鱼3': None}
2023-05-17 22:52:17,709 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.05, 'light': 0.0, 'temperature': 29.293, 'humidity': 88.38, 'waterTemperature': 24.448, 'timestamp': '2023-05-17 21:56:48'}, '养鱼3': None}
2023-05-17 22:52:17,710 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.246, 'light': 0.0, 'temperature': 29.302, 'humidity': 88.384, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:57:18'}, '养鱼3': None}
2023-05-17 22:52:17,710 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.113, 'light': 0.0, 'temperature': 29.29, 'humidity': 88.393, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 21:57:48'}, '养鱼3': None}
2023-05-17 22:52:17,710 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.46, 'light': 0.0, 'temperature': 29.32, 'humidity': 88.41, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:58:18'}, '养鱼3': None}
2023-05-17 22:52:17,716 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.982, 'light': 0.0, 'temperature': 29.343, 'humidity': 88.368, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:58:48'}, '养鱼3': None}
2023-05-17 22:52:17,716 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.422, 'humidity': 88.346, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 21:59:18'}, '养鱼3': None}
2023-05-17 22:52:17,716 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 25.142, 'light': 0.0, 'temperature': 29.41, 'humidity': 88.287, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:59:48'}, '养鱼3': None}
2023-05-17 22:52:17,716 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.814, 'light': 0.0, 'temperature': 29.38, 'humidity': 88.306, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:0:18'}, '养鱼3': None}
2023-05-17 22:52:17,716 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.39, 'humidity': 88.274, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:0:48'}, '养鱼3': None}
2023-05-17 22:52:17,722 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.468, 'humidity': 88.248, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:1:18'}, '养鱼3': None}
2023-05-17 22:52:17,722 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.48, 'humidity': 88.128, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:1:48'}, '养鱼3': None}
2023-05-17 22:52:17,722 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.538, 'humidity': 88.134, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:2:18'}, '养鱼3': None}
2023-05-17 22:52:17,722 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.355, 'light': 0.0, 'temperature': 29.518, 'humidity': 88.102, 'waterTemperature': 24.493, 'timestamp': '2023-05-17 22:2:48'}, '养鱼3': None}
2023-05-17 22:52:17,722 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.432, 'light': 0.0, 'temperature': 29.566, 'humidity': 88.07, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:3:18'}, '养鱼3': None}
2023-05-17 22:52:17,728 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.953, 'light': 0.0, 'temperature': 29.543, 'humidity': 88.017, 'waterTemperature': 22.08, 'timestamp': '2023-05-17 22:3:48'}, '养鱼3': None}
2023-05-17 22:52:17,728 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.49, 'light': 0.0, 'temperature': 29.565, 'humidity': 87.927, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:4:18'}, '养鱼3': None}
2023-05-17 22:52:17,728 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.263, 'light': 0.0, 'temperature': 29.58, 'humidity': 87.857, 'waterTemperature': 19.627, 'timestamp': '2023-05-17 22:4:48'}, '养鱼3': None}
2023-05-17 22:52:17,728 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.806, 'light': 0.0, 'temperature': 29.616, 'humidity': 87.766, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:5:18'}, '养鱼3': None}
2023-05-17 22:52:17,728 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.09, 'light': 0.0, 'temperature': 29.675, 'humidity': 87.743, 'waterTemperature': 22.065, 'timestamp': '2023-05-17 22:5:48'}, '养鱼3': None}
2023-05-17 22:52:17,734 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.703, 'light': 0.0, 'temperature': 29.657, 'humidity': 87.718, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:6:18'}, '养鱼3': None}
2023-05-17 22:52:17,734 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.165, 'light': 0.0, 'temperature': 29.663, 'humidity': 87.598, 'waterTemperature': 24.543, 'timestamp': '2023-05-17 22:6:48'}, '养鱼3': None}
2023-05-17 22:52:17,734 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.012, 'light': 0.0, 'temperature': 29.732, 'humidity': 87.536, 'waterTemperature': 23.576, 'timestamp': '2023-05-17 22:7:18'}, '养鱼3': None}
2023-05-17 22:52:17,734 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.14, 'light': 0.0, 'temperature': 29.734, 'humidity': 87.496, 'waterTemperature': 23.588, 'timestamp': '2023-05-17 22:7:48'}, '养鱼3': None}
2023-05-17 22:52:17,734 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.77, 'light': 0.0, 'temperature': 29.752, 'humidity': 87.42, 'waterTemperature': 23.576, 'timestamp': '2023-05-17 22:8:18'}, '养鱼3': None}
2023-05-17 22:52:17,741 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.777, 'light': 0.0, 'temperature': 29.775, 'humidity': 87.32, 'waterTemperature': 22.095, 'timestamp': '2023-05-17 22:8:48'}, '养鱼3': None}
2023-05-17 22:52:17,741 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.392, 'light': 0.0, 'temperature': 29.805, 'humidity': 87.288, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:9:18'}, '养鱼3': None}
2023-05-17 22:52:17,741 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.942, 'light': 0.0, 'temperature': 29.83, 'humidity': 87.196, 'waterTemperature': 23.564, 'timestamp': '2023-05-17 22:9:48'}, '养鱼3': None}
2023-05-17 22:52:17,741 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.5, 'light': 0.0, 'temperature': 29.832, 'humidity': 87.112, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:10:18'}, '养鱼3': None}
2023-05-17 22:52:17,741 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.968, 'light': 0.0, 'temperature': 29.82, 'humidity': 87.04, 'waterTemperature': 22.065, 'timestamp': '2023-05-17 22:10:48'}, '养鱼3': None}
2023-05-17 22:52:17,746 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.168, 'light': 0.0, 'temperature': 29.854, 'humidity': 86.982, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:11:18'}, '养鱼3': None}
2023-05-17 22:52:17,746 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.945, 'light': 0.0, 'temperature': 29.88, 'humidity': 86.89, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:11:48'}, '养鱼3': None}
2023-05-17 22:52:17,746 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.05, 'light': 0.0, 'temperature': 29.898, 'humidity': 86.81, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:12:18'}, '养鱼3': None}
2023-05-17 22:52:17,746 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.062, 'light': 0.0, 'temperature': 29.93, 'humidity': 86.724, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:12:48'}, '养鱼3': None}
2023-05-17 22:52:17,747 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.818, 'light': 0.0, 'temperature': 29.934, 'humidity': 86.666, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:13:18'}, '养鱼3': None}
2023-05-17 22:52:17,752 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.575, 'light': 0.0, 'temperature': 29.917, 'humidity': 86.557, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:13:48'}, '养鱼3': None}
2023-05-17 22:52:17,753 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.978, 'humidity': 86.438, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:18'}, '养鱼3': None}
2023-05-17 22:52:17,753 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.035, 'light': 0.0, 'temperature': 29.99, 'humidity': 86.395, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:48'}, '养鱼3': None}
2023-05-17 22:52:17,753 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.28, 'light': 0.0, 'temperature': 30.025, 'humidity': 86.295, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:15:18'}, '养鱼3': None}
2023-05-17 22:52:17,753 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.192, 'light': 0.0, 'temperature': 30.022, 'humidity': 86.242, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:15:48'}, '养鱼3': None}
2023-05-17 22:52:17,759 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.195, 'light': 0.0, 'temperature': 30.043, 'humidity': 86.168, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 22:16:18'}, '养鱼3': None}
2023-05-17 22:52:17,759 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.275, 'light': 0.0, 'temperature': 30.04, 'humidity': 86.127, 'waterTemperature': 22.05, 'timestamp': '2023-05-17 22:16:48'}, '养鱼3': None}
2023-05-17 22:52:17,759 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.713, 'light': 0.0, 'temperature': 30.08, 'humidity': 86.065, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:17:18'}, '养鱼3': None}
2023-05-17 22:52:17,759 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.723, 'light': 0.0, 'temperature': 30.077, 'humidity': 85.973, 'waterTemperature': 19.587, 'timestamp': '2023-05-17 22:17:48'}, '养鱼3': None}
2023-05-17 22:52:17,759 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.568, 'light': 0.0, 'temperature': 30.078, 'humidity': 85.96, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:18:18'}, '养鱼3': None}
2023-05-17 22:52:17,764 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.489, 'light': 0.0, 'temperature': 30.089, 'humidity': 85.917, 'waterTemperature': 25.183, 'timestamp': '2023-05-17 22:18:48'}, '养鱼3': None}
2023-05-17 22:52:17,765 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 30.1, 'humidity': 85.868, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:19:18'}, '养鱼3': None}
2023-05-17 22:52:17,765 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.733, 'light': 0.0, 'temperature': 30.103, 'humidity': 85.823, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 22:19:48'}, '养鱼3': None}
2023-05-17 22:52:17,765 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.985, 'light': 0.0, 'temperature': 30.14, 'humidity': 85.757, 'waterTemperature': 22.017, 'timestamp': '2023-05-17 22:20:18'}, '养鱼3': None}
2023-05-17 22:52:17,765 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.228, 'light': 0.0, 'temperature': 30.15, 'humidity': 85.708, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:20:48'}, '养鱼3': None}
2023-05-17 22:52:17,770 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.192, 'light': 0.0, 'temperature': 30.166, 'humidity': 85.706, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:18'}, '养鱼3': None}
2023-05-17 22:52:17,770 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 30.202, 'humidity': 85.632, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:48'}, '养鱼3': None}
2023-05-17 22:52:17,771 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.406, 'light': 0.0, 'temperature': 30.178, 'humidity': 85.594, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:22:18'}, '养鱼3': None}
2023-05-17 22:52:17,771 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 30.236, 'humidity': 85.548, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:22:48'}, '养鱼3': None}
2023-05-17 22:52:17,771 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.848, 'light': 0.0, 'temperature': 30.27, 'humidity': 85.516, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:23:18'}, '养鱼3': None}
2023-05-17 22:52:17,777 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.362, 'light': 0.0, 'temperature': 30.255, 'humidity': 85.525, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:23:48'}, '养鱼3': None}
2023-05-17 22:52:17,777 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 26.742, 'light': 0.0, 'temperature': 30.29, 'humidity': 85.464, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:24:18'}, '养鱼3': None}
2023-05-17 22:52:17,777 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.347, 'light': 0.0, 'temperature': 30.282, 'humidity': 85.403, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:24:48'}, '养鱼3': None}
2023-05-17 22:52:17,778 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.979, 'light': 0.0, 'temperature': 29.263, 'humidity': 88.213, 'waterTemperature': 29.293, 'timestamp': '2023-05-17 21:52:48'}, '养鱼3': None}
2023-05-17 22:52:17,778 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.256, 'light': 0.0, 'temperature': 29.266, 'humidity': 88.192, 'waterTemperature': 23.424, 'timestamp': '2023-05-17 21:53:18'}, '养鱼3': None}
2023-05-17 22:52:17,784 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.848, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.234, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:53:48'}, '养鱼3': None}
2023-05-17 22:52:17,784 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.148, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.228, 'waterTemperature': 24.425, 'timestamp': '2023-05-17 21:54:18'}, '养鱼3': None}
2023-05-17 22:52:17,785 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.26, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.27, 'waterTemperature': 23.412, 'timestamp': '2023-05-17 21:54:48'}, '养鱼3': None}
2023-05-17 22:52:17,785 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.387, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.28, 'waterTemperature': 24.385, 'timestamp': '2023-05-17 21:55:18'}, '养鱼3': None}
2023-05-17 22:52:17,786 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.535, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.317, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:55:48'}, '养鱼3': None}
2023-05-17 22:52:17,791 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.59, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.343, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:56:18'}, '养鱼3': None}
2023-05-17 22:52:17,791 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.05, 'light': 0.0, 'temperature': 29.293, 'humidity': 88.38, 'waterTemperature': 24.448, 'timestamp': '2023-05-17 21:56:48'}, '养鱼3': None}
